,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
2376,0.49,0.386,0.4029999999999999,0.304,0.392,0
1856,0.4743333333333333,0.4473333333333333,0.3999999999999999,0.2789999999999999,0.4406666666666667,0
675,0.488,0.386,0.487,0.31,0.384,0
1362,0.4675,0.422,0.473,0.2855,0.417,0
420,0.519,0.342,0.422,0.316,0.392,0
2723,0.4804999999999999,0.491,0.4179999999999999,0.272,0.4054999999999999,0
336,0.493,0.4415,0.4609999999999999,0.283,0.4105,0
1075,0.5132857142857143,0.477,0.39,0.3137142857142857,0.4044285714285714,0
870,0.494,0.386,0.3979999999999999,0.2769999999999999,0.337,0
1351,0.4766666666666667,0.4356666666666666,0.4746666666666666,0.3063333333333333,0.3763333333333333,0
2050,0.518,0.5479999999999999,0.431,0.408,0.423,0
3186,0.4745,0.41,0.411,0.3015,0.3845,0
479,0.488,0.483,0.341,0.309,0.327,0
1483,0.47,0.4828333333333334,0.4078333333333333,0.3298333333333333,0.441,0
1725,0.4796,0.495,0.4062,0.315,0.3766,0
2055,0.49775,0.37475,0.4305,0.3235,0.36725,0
547,0.46525,0.39175,0.4585,0.28175,0.3705,0
2945,0.489,0.389,0.3829999999999999,0.337,0.416,0
2065,0.4766,0.45,0.438,0.3168,0.4096,0
2352,0.515,0.375,0.429,0.359,0.367,0
2494,0.4909999999999999,0.4633333333333334,0.426,0.28,0.3879999999999999,0
3071,0.504,0.4425,0.383,0.307,0.356,0
341,0.5,0.362,0.431,0.309,0.335,0
532,0.505,0.336,0.424,0.3929999999999999,0.344,0
516,0.5096,0.4144,0.3853999999999999,0.3378,0.3754,0
1293,0.4539999999999999,0.4495,0.375,0.255,0.379,0
20,0.4871428571428571,0.4494285714285714,0.4268571428571429,0.3212857142857143,0.4045714285714286,0
1850,0.505,0.421,0.39,0.357,0.372,0
1738,0.467,0.4323333333333334,0.4196666666666666,0.2733333333333333,0.3783333333333333,0
966,0.4966666666666666,0.4684999999999999,0.3731666666666666,0.3028333333333333,0.3858333333333333,0
1113,0.506,0.2739999999999999,0.4579999999999999,0.527,0.271,0
1667,0.489,0.3998,0.374,0.302,0.3814,0
2805,0.497,0.479,0.4529999999999999,0.314,0.431,0
986,0.51,0.382,0.375,0.413,0.359,0
1165,0.5135000000000001,0.4225,0.3844999999999999,0.3755,0.405,0
448,0.46975,0.43025,0.467,0.32025,0.41725,0
2750,0.5,0.355,0.39,0.33,0.349,0
1310,0.4784,0.4138,0.42,0.3034,0.4098,0
662,0.507,0.381,0.386,0.252,0.344,0
413,0.51,0.361,0.431,0.358,0.39,0
405,0.496,0.428,0.422,0.311,0.416,0
2014,0.4975,0.4599999999999999,0.4095,0.368,0.378,0
2714,0.4811249999999999,0.4564375,0.420625,0.3098749999999999,0.3935,0
37,0.495,0.478,0.35,0.313,0.377,0
1014,0.4558888888888888,0.432111111111111,0.4347777777777777,0.3087777777777777,0.4217777777777777,0
1302,0.4623333333333333,0.3996666666666666,0.445,0.3233333333333333,0.3919999999999999,0
2815,0.497,0.324,0.362,0.346,0.3379999999999999,0
482,0.499,0.408,0.363,0.3175,0.331,0
2254,0.511,0.466,0.4039999999999999,0.282,0.361,0
613,0.4582727272727273,0.4637272727272727,0.4425,0.3174999999999999,0.4273181818181819,0
514,0.509,0.325,0.4,0.377,0.321,0
101,0.4896666666666667,0.3579999999999999,0.454,0.3253333333333333,0.3773333333333333,0
928,0.499,0.405,0.386,0.288,0.358,0
51,0.486,0.3979999999999999,0.435,0.3389999999999999,0.353,0
2361,0.497,0.4547142857142857,0.37,0.3159999999999999,0.3894285714285714,0
360,0.506,0.506,0.359,0.262,0.362,0
996,0.47,0.358,0.4155,0.279,0.348,0
1543,0.4983333333333333,0.4786666666666666,0.4053333333333333,0.3263333333333333,0.393,0
2027,0.51,0.402,0.405,0.39,0.395,0
1065,0.4755,0.4812499999999999,0.437,0.31275,0.41425,0
497,0.494,0.375,0.407,0.371,0.342,0
940,0.486,0.491,0.43,0.307,0.411,0
562,0.48,0.3985,0.4345,0.345,0.358,0
1381,0.495,0.375,0.354,0.345,0.341,0
260,0.4553333333333333,0.418,0.4686666666666666,0.3226666666666666,0.3806666666666666,0
1489,0.482,0.373,0.368,0.355,0.351,0
2719,0.48,0.46,0.4379999999999999,0.345,0.392,0
2481,0.5066666666666667,0.4053333333333334,0.3626666666666667,0.302,0.3536666666666667,0
2056,0.4585,0.4024999999999999,0.4115,0.3125,0.3705,0
3165,0.4886666666666666,0.452,0.3853333333333333,0.3066666666666667,0.3886666666666666,0
2965,0.498,0.389,0.426,0.33,0.395,0
454,0.4909999999999999,0.458,0.3933333333333333,0.3016666666666666,0.4006666666666666,0
1907,0.4702,0.3866,0.4012,0.2841999999999999,0.3970000000000001,0
2303,0.5061666666666668,0.3978333333333333,0.3956666666666666,0.3304999999999999,0.3861666666666667,0
459,0.496,0.405,0.384,0.352,0.4039999999999999,0
228,0.494,0.324,0.304,0.341,0.243,0
1264,0.5349999999999999,0.4925,0.3695,0.3834999999999999,0.3874999999999999,0
1493,0.506,0.308,0.372,0.387,0.366,0
1935,0.5074285714285715,0.4424285714285714,0.4082857142857143,0.3094285714285714,0.4071428571428572,0
1040,0.514,0.372,0.462,0.395,0.3429999999999999,0
908,0.524,0.481,0.3593333333333333,0.3706666666666667,0.378,0
1276,0.509,0.332,0.36,0.372,0.365,0
1758,0.5289999999999999,0.4685,0.398,0.345,0.3794999999999999,0
3204,0.4711666666666665,0.46925,0.4120833333333333,0.3035833333333332,0.41775,0
1925,0.518,0.473,0.396,0.311,0.413,0
1671,0.4993333333333334,0.439,0.3353333333333333,0.306,0.3753333333333333,0
1394,0.488,0.484,0.407,0.289,0.384,0
2519,0.5075000000000001,0.4315,0.4315,0.3335,0.365,0
982,0.487,0.5195000000000001,0.383,0.3395,0.405,0
1192,0.4696666666666667,0.3980000000000001,0.4335,0.3308333333333333,0.4101666666666666,0
2489,0.4856666666666667,0.4363333333333334,0.4653333333333334,0.3616666666666666,0.3996666666666666,0
2181,0.487,0.523,0.436,0.298,0.3939999999999999,0
2527,0.48,0.499,0.523,0.303,0.392,0
2455,0.502,0.283,0.322,0.283,0.342,0
862,0.482,0.475,0.3895,0.3359999999999999,0.5,0
2798,0.4733333333333333,0.422,0.4333333333333333,0.312,0.412,0
2764,0.485,0.3805,0.4565,0.369,0.3615,0
716,0.489,0.4301428571428571,0.3757142857142857,0.3008571428571429,0.3735714285714286,0
1686,0.4867777777777777,0.4542222222222223,0.3815555555555556,0.2929999999999999,0.4092222222222222,0
1256,0.496,0.469,0.424,0.303,0.408,0
1545,0.4753333333333334,0.4676666666666667,0.3863333333333333,0.3103333333333333,0.377,0
1993,0.4703333333333333,0.3803333333333333,0.3806666666666666,0.3053333333333333,0.3586666666666667,0
244,0.48,0.427,0.381,0.358,0.395,0
148,0.4666666666666666,0.4173333333333334,0.4543333333333333,0.3263333333333333,0.4039999999999999,0
568,0.5,0.3929999999999999,0.376,0.364,0.35,0
492,0.512,0.371,0.3879999999999999,0.387,0.319,0
2655,0.514,0.426,0.489,0.257,0.449,0
242,0.4595,0.4335,0.4,0.30625,0.4029999999999999,0
1764,0.476,0.407,0.4339999999999999,0.324,0.3955,0
379,0.5203333333333333,0.4496666666666666,0.4173333333333333,0.3623333333333333,0.3739999999999999,0
392,0.460875,0.416375,0.4255,0.303875,0.41825,0
3582,0.498,0.42,0.43,0.389,0.402,0
1288,0.493,0.494,0.365,0.292,0.39,0
2350,0.485,0.379,0.419,0.312,0.336,0
1695,0.4803999999999999,0.5032,0.4274,0.3322,0.4354,0
1657,0.5,0.498,0.34,0.305,0.426,0
597,0.489,0.4579999999999999,0.4029999999999999,0.248,0.391,0
699,0.496,0.494,0.402,0.369,0.4379999999999999,0
2067,0.516,0.367,0.351,0.2725,0.3645,0
767,0.4746666666666666,0.4886666666666666,0.4066666666666667,0.2966666666666667,0.4313333333333333,0
152,0.498,0.455,0.36,0.346,0.357,0
1524,0.515,0.473,0.4385,0.332,0.415,0
510,0.5065000000000001,0.4545,0.398,0.3249999999999999,0.373,0
766,0.5133333333333333,0.4156666666666666,0.393,0.364,0.3913333333333333,0
2139,0.4975833333333333,0.4352500000000001,0.3773333333333332,0.32075,0.3991666666666666,0
2867,0.519,0.445,0.3989999999999999,0.35,0.4,0
194,0.5136666666666667,0.482,0.3616666666666666,0.3523333333333333,0.3866666666666667,0
826,0.496,0.478,0.4615,0.2585,0.4265,0
2170,0.5,0.409,0.395,0.308,0.3779999999999999,0
1690,0.506,0.414,0.389,0.368,0.347,0
748,0.4815,0.4985,0.368,0.2764999999999999,0.358,0
2216,0.517,0.4105,0.4105,0.285,0.3505,0
329,0.484,0.474,0.425,0.281,0.444,0
3106,0.506,0.4489999999999999,0.4195,0.369,0.4215,0
839,0.494,0.519,0.377,0.287,0.327,0
3134,0.506,0.4,0.4015,0.293,0.38,0
1656,0.497,0.4205,0.42125,0.2985,0.37625,0
815,0.52,0.48,0.331,0.35,0.369,0
1589,0.492,0.4115,0.4235,0.35,0.3815,0
153,0.4414999999999999,0.41175,0.42675,0.267,0.396,0
517,0.483,0.352,0.418,0.348,0.371,0
511,0.4814999999999999,0.3785,0.3834999999999999,0.3269999999999999,0.4004999999999999,0
2640,0.48975,0.4545,0.3745,0.3075,0.3855,0
550,0.4975,0.3735,0.4435,0.3535,0.39,0
998,0.503,0.445,0.347,0.342,0.3779999999999999,0
416,0.4816666666666667,0.443,0.4756666666666667,0.2793333333333333,0.3963333333333332,0
804,0.495,0.4144,0.402,0.3303999999999999,0.3631999999999999,0
2297,0.479,0.424,0.418,0.3025,0.4225,0
288,0.502,0.516,0.3984999999999999,0.344,0.3705,0
3317,0.50925,0.44975,0.4337500000000001,0.34675,0.3955,0
2445,0.4815,0.4479999999999999,0.4589999999999999,0.3085,0.412,0
1711,0.513,0.424,0.4429999999999999,0.365,0.409,0
2648,0.5057499999999999,0.4335,0.40975,0.31925,0.36925,0
1084,0.514,0.372,0.389,0.304,0.3229999999999999,0
943,0.504,0.4543333333333333,0.3756666666666666,0.3246666666666666,0.3606666666666667,0
3886,0.489,0.4679999999999999,0.366,0.262,0.365,0
113,0.485,0.3989,0.4037999999999999,0.2958999999999999,0.3877,0
2048,0.489,0.376,0.397,0.291,0.3379999999999999,0
592,0.4634999999999999,0.4945,0.4108333333333334,0.3241666666666666,0.4258333333333333,0
2156,0.49,0.366,0.415,0.335,0.369,0
1244,0.524,0.423,0.3954999999999999,0.3325,0.3895,0
1778,0.507,0.3429999999999999,0.358,0.43,0.31,0
3408,0.5148571428571429,0.4027142857142857,0.3832857142857143,0.3354285714285714,0.3917142857142857,0
2852,0.489,0.381,0.369,0.26,0.357,0
912,0.4956666666666667,0.4306666666666667,0.4059999999999999,0.3313333333333333,0.4040000000000001,0
130,0.496,0.395,0.395,0.3,0.385,0
1083,0.515,0.4354285714285714,0.3941428571428572,0.3568571428571429,0.3847142857142857,0
1448,0.4876666666666667,0.5373333333333333,0.3813333333333333,0.3026666666666666,0.4166666666666667,0
448,0.4704,0.4502,0.4158,0.2794,0.3696,0
1816,0.4825,0.4525,0.4215,0.322,0.4025,0
39,0.4536666666666667,0.4146666666666667,0.481,0.3,0.4003333333333334,0
961,0.4367499999999999,0.43475,0.404,0.24375,0.38325,0
1929,0.4982499999999999,0.4287499999999999,0.40125,0.3295,0.40825,0
2881,0.4776000000000001,0.4221,0.3924999999999999,0.2864,0.3861,0
2633,0.496,0.347,0.449,0.364,0.419,0
1352,0.489,0.4805,0.4355,0.321,0.393,0
734,0.488,0.4195,0.3665,0.32825,0.3705,0
1518,0.507,0.4333333333333333,0.4013333333333333,0.3186666666666667,0.3716666666666666,0
3342,0.51,0.445,0.296,0.2689999999999999,0.3379999999999999,0
1173,0.485,0.474,0.3939999999999999,0.3229999999999999,0.4039999999999999,0
1574,0.4985,0.3409999999999999,0.3974999999999999,0.3165,0.326,0
2095,0.507,0.326,0.36,0.3555,0.319,0
348,0.482,0.366,0.469,0.321,0.396,0
2438,0.4439999999999999,0.413,0.4608,0.3006,0.3823999999999999,0
1580,0.467090909090909,0.4410909090909091,0.3952727272727273,0.2898181818181818,0.3873636363636364,0
966,0.469,0.3874999999999999,0.425,0.3015,0.36,0
403,0.519,0.425,0.359,0.264,0.3829999999999999,0
3530,0.505,0.45,0.41,0.336,0.3939999999999999,0
1225,0.489,0.414,0.48,0.21,0.38,0
1246,0.498,0.4385,0.4245,0.3025,0.4004999999999999,0
2065,0.48,0.356,0.3939999999999999,0.259,0.413,0
2003,0.513,0.41,0.355,0.3206666666666667,0.3493333333333333,0
2004,0.51,0.42,0.405,0.379,0.437,0
1321,0.4764285714285714,0.4324285714285714,0.4231428571428572,0.303,0.3874285714285714,0
1960,0.494,0.4755,0.3655,0.3275,0.3864999999999999,0
1347,0.4649999999999999,0.48,0.395,0.3365,0.4335,0
221,0.5045000000000001,0.4590000000000001,0.408,0.2905,0.397,0
409,0.487,0.319,0.445,0.352,0.3429999999999999,0
1831,0.4975,0.5235,0.405,0.3269999999999999,0.3814999999999999,0
1880,0.4831999999999999,0.4284,0.4429999999999999,0.3476,0.3712,0
896,0.469,0.43675,0.45,0.317,0.4049999999999999,0
3162,0.5,0.364,0.4111666666666667,0.3181666666666666,0.3671666666666666,0
740,0.4975714285714286,0.4859999999999999,0.4205714285714286,0.3128571428571428,0.3967142857142857,0
2206,0.507625,0.4394999999999999,0.40475,0.362,0.3737499999999999,0
977,0.5008333333333334,0.4618333333333334,0.3753333333333333,0.335,0.3964999999999999,0
1068,0.517,0.362,0.408,0.366,0.314,0
2326,0.4693333333333333,0.429,0.4303333333333334,0.3413333333333333,0.3803333333333333,0
89,0.481,0.414,0.429,0.301,0.416,0
1876,0.4768333333333333,0.4653333333333333,0.3996666666666666,0.2945,0.3939999999999999,0
2372,0.4619999999999999,0.48125,0.4059999999999999,0.2815,0.41375,0
2316,0.4816666666666667,0.484,0.4243333333333333,0.2926666666666667,0.403,0
2603,0.5256000000000001,0.4211999999999999,0.3686,0.3172,0.343,0
2657,0.4705454545454545,0.4556363636363636,0.4092727272727273,0.3078181818181817,0.3993636363636363,0
2478,0.5116666666666667,0.3733333333333333,0.3356666666666667,0.289,0.3699999999999999,0
801,0.483,0.37,0.335,0.297,0.384,0
411,0.4645,0.4085,0.44,0.302,0.4155,0
1716,0.4535,0.409,0.4395,0.2695,0.4054999999999999,0
2691,0.502,0.299,0.386,0.361,0.346,0
1619,0.4819999999999999,0.4518571428571429,0.4009999999999999,0.3224285714285714,0.3845714285714287,0
2406,0.498,0.324,0.324,0.335,0.268,0
1169,0.518,0.355,0.435,0.411,0.362,0
1173,0.491,0.51,0.411,0.309,0.412,0
2835,0.461,0.3903333333333333,0.4366666666666667,0.2953333333333333,0.4023333333333334,0
2345,0.474,0.4233333333333333,0.4576666666666666,0.311,0.395,0
1024,0.4943333333333333,0.4016666666666666,0.427,0.3646666666666667,0.379,0
1787,0.4603333333333333,0.45,0.4236666666666667,0.3196666666666666,0.4013333333333333,0
1034,0.4915,0.4185,0.361,0.2925,0.399,0
1793,0.4709999999999999,0.4218333333333333,0.4549999999999999,0.336,0.4054999999999999,0
2497,0.468,0.395,0.44,0.3575,0.4024999999999999,0
2291,0.515,0.302,0.351,0.352,0.308,0
615,0.502,0.47,0.424,0.322,0.442,0
2585,0.47,0.3863333333333333,0.4186666666666667,0.2993333333333333,0.3753333333333333,0
850,0.4695,0.4405,0.4715,0.3265,0.4345,0
1832,0.4803333333333333,0.4826666666666666,0.429,0.3286666666666666,0.4386666666666666,0
1818,0.4885,0.486,0.4455,0.3805,0.4095,0
1282,0.497,0.304,0.38,0.309,0.387,0
909,0.4855,0.38975,0.38175,0.33375,0.3615,0
784,0.503,0.377,0.462,0.296,0.396,0
628,0.489,0.489,0.422,0.3389999999999999,0.392,0
2783,0.517,0.4335,0.408,0.35,0.3715,0
1724,0.497,0.3775,0.395,0.3465,0.388,0
325,0.507,0.449,0.508,0.347,0.358,0
110,0.4846666666666667,0.358,0.366,0.314,0.4023333333333334,0
2303,0.486,0.4639999999999999,0.41,0.284,0.4,0
813,0.4635,0.42825,0.422,0.3017499999999999,0.42875,0
649,0.506,0.499,0.335,0.344,0.422,0
2760,0.485,0.315,0.434,0.305,0.355,0
3808,0.5096,0.4248,0.3991999999999999,0.3426999999999999,0.3586,0
538,0.493,0.4465,0.4125,0.3345,0.394,0
1133,0.4992222222222222,0.4884444444444444,0.392,0.3078888888888889,0.3986666666666666,0
1398,0.49,0.4415,0.4225,0.3189999999999999,0.409,0
716,0.508,0.506,0.4039999999999999,0.32,0.384,0
1845,0.5235000000000001,0.4669999999999999,0.3845,0.348,0.3605,0
1607,0.4925,0.396,0.406,0.3135,0.363,0
1952,0.4893333333333333,0.4296666666666666,0.405,0.3103333333333333,0.3986666666666667,0
342,0.4836666666666667,0.4243333333333334,0.4105,0.3381666666666666,0.3696666666666666,0
2238,0.5129999999999999,0.436,0.3715,0.345,0.38,0
77,0.515,0.386,0.368,0.348,0.276,0
1432,0.506375,0.46625,0.38,0.3225,0.36775,0
2142,0.47025,0.4513928571428572,0.4214642857142857,0.2811428571428572,0.3918214285714286,0
1336,0.4695555555555555,0.405,0.4471111111111111,0.3311666666666666,0.3810555555555555,0
2757,0.4946666666666666,0.4793333333333334,0.4216666666666666,0.2826666666666667,0.4076666666666666,0
2654,0.491,0.4455,0.421,0.3359999999999999,0.416,0
828,0.5,0.369,0.36,0.377,0.342,0
1025,0.509,0.336,0.407,0.3939999999999999,0.376,0
1404,0.4755,0.4748333333333334,0.4291666666666667,0.2961666666666666,0.4308333333333333,0
2539,0.512,0.446,0.426,0.254,0.349,0
2370,0.52,0.462,0.39,0.302,0.356,0
817,0.5205,0.4289999999999999,0.3864999999999999,0.342,0.395,0
259,0.4643333333333332,0.408,0.457,0.292,0.3716666666666666,0
1220,0.483,0.372,0.3929999999999999,0.3379999999999999,0.364,0
2995,0.479,0.4065,0.4085,0.2625,0.4035,0
1886,0.494,0.317,0.376,0.22,0.405,0
971,0.487,0.42,0.431,0.28,0.387,0
1074,0.484,0.455,0.397,0.321,0.396,0
2421,0.49,0.4613333333333333,0.3923333333333333,0.3196666666666667,0.4183333333333333,0
790,0.507,0.382,0.392,0.276,0.392,0
636,0.4845,0.397,0.486,0.3295,0.415,0
53,0.4851666666666666,0.4224999999999999,0.4311666666666666,0.3244999999999999,0.3783333333333333,0
9,0.513,0.467,0.419,0.253,0.428,0
546,0.505,0.48,0.413,0.379,0.4479999999999999,0
1506,0.495,0.4875,0.4125,0.2975,0.391,0
2080,0.469,0.4155,0.4865,0.295,0.3645,0
395,0.48,0.396,0.462,0.25,0.374,0
2934,0.5033333333333333,0.4383333333333333,0.4213333333333333,0.329,0.3733333333333333,0
1018,0.4732499999999999,0.368,0.4265,0.32325,0.38525,0
3005,0.4875,0.4425,0.359,0.271,0.3764999999999999,0
3502,0.506,0.407,0.373,0.35,0.411,0
1230,0.512,0.449,0.397,0.3329999999999999,0.346,0
403,0.52,0.397,0.441,0.365,0.421,0
1237,0.5056,0.4434,0.4012,0.3293999999999999,0.4044,0
2667,0.512,0.4629999999999999,0.41,0.33,0.374,0
736,0.5075,0.403,0.42,0.333,0.376,0
1439,0.4669999999999999,0.5275000000000001,0.363,0.271,0.3625,0
2119,0.4881428571428571,0.4517142857142857,0.3525714285714286,0.3537142857142857,0.4648571428571429,0
513,0.485,0.384,0.419,0.36,0.455,0
2725,0.482,0.326,0.427,0.331,0.373,0
610,0.504,0.46,0.518,0.312,0.434,0
177,0.5,0.306,0.33,0.303,0.327,0
99,0.491,0.381,0.4039999999999999,0.353,0.3389999999999999,0
2636,0.4755,0.3685,0.4695,0.294,0.4,0
972,0.4906666666666666,0.4096666666666667,0.4053333333333334,0.312,0.3960000000000001,0
748,0.4701428571428572,0.4714285714285714,0.4022857142857143,0.2702857142857143,0.39,0
719,0.4493333333333333,0.4026666666666667,0.4663333333333333,0.2993333333333333,0.4026666666666667,0
846,0.483,0.441,0.4145,0.3205,0.3819999999999999,0
1583,0.505,0.437,0.406,0.3229999999999999,0.377,0
996,0.486,0.451,0.379,0.255,0.33,0
2130,0.491,0.4399999999999999,0.4004999999999999,0.336,0.4054999999999999,0
2428,0.4896666666666666,0.4473333333333333,0.403,0.286,0.3673333333333333,0
44,0.475,0.423,0.4455,0.2764999999999999,0.4085,0
1244,0.4835,0.4265,0.44,0.2995,0.4385,0
1597,0.475,0.4135,0.4535,0.273,0.4115,0
892,0.4605,0.4355,0.4175,0.303,0.4107499999999999,0
1913,0.4685,0.4645,0.4505,0.3315,0.4034999999999999,0
2578,0.51,0.3345,0.3804999999999999,0.3555,0.38,0
1340,0.518,0.302,0.316,0.344,0.305,0
1542,0.5,0.4205,0.39625,0.33175,0.3477499999999999,0
2420,0.495,0.374,0.437,0.341,0.395,0
1964,0.476,0.4589999999999999,0.3963333333333333,0.3323333333333333,0.407,0
48,0.496,0.4695,0.409,0.2935,0.383,0
1013,0.4895,0.4905,0.3974999999999999,0.319,0.3905,0
2104,0.5255000000000001,0.3954999999999999,0.44675,0.32825,0.35075,0
875,0.438,0.4044999999999999,0.3974999999999999,0.2545,0.405,0
1072,0.498,0.564,0.346,0.331,0.414,0
2034,0.5226,0.4508,0.344,0.34,0.359,0
252,0.4765,0.4145,0.4775,0.3374999999999999,0.4345,0
2252,0.5048,0.4333999999999999,0.3816,0.3234,0.4074,0
257,0.476,0.4024999999999999,0.4605,0.3129999999999999,0.4095,0
142,0.518,0.462,0.433,0.3989999999999999,0.396,0
1774,0.482,0.49,0.462,0.2739999999999999,0.408,0
2026,0.496,0.2769999999999999,0.283,0.288,0.359,0
3288,0.5136666666666666,0.4626666666666667,0.419,0.3183333333333333,0.3956666666666666,0
2494,0.4805,0.4605,0.427,0.27,0.3375,0
232,0.482,0.5,0.357,0.306,0.414,0
2864,0.48,0.36,0.444,0.2789999999999999,0.357,0
759,0.496,0.542,0.402,0.313,0.424,0
1470,0.488,0.473,0.5,0.324,0.4479999999999999,0
108,0.4625,0.436,0.3924999999999999,0.33,0.378,0
2114,0.4700000000000001,0.4705714285714286,0.3864285714285714,0.2911428571428571,0.4005714285714286,0
1639,0.502,0.49,0.3779999999999999,0.352,0.414,0
2849,0.48,0.467,0.4273333333333333,0.343,0.4266666666666667,0
2180,0.4706363636363636,0.4834545454545455,0.3933636363636363,0.2783636363636363,0.3930909090909091,0
1845,0.4848333333333333,0.3653333333333333,0.3586666666666667,0.317,0.3543333333333333,0
2238,0.4915,0.3784999999999999,0.4549999999999999,0.292,0.4115,0
255,0.499,0.36,0.418,0.384,0.335,0
1373,0.47575,0.50675,0.40425,0.31875,0.4267499999999999,0
1978,0.494,0.413,0.428,0.326,0.3879999999999999,0
1379,0.506,0.494,0.39,0.299,0.402,0
844,0.4865,0.448,0.3994999999999999,0.3329999999999999,0.3775,0
25,0.47575,0.3885,0.4237499999999999,0.31025,0.367,0
2493,0.505,0.4,0.384,0.3095,0.382,0
235,0.489,0.415,0.415,0.342,0.352,0
2770,0.484,0.3279999999999999,0.392,0.326,0.3289999999999999,0
2436,0.496,0.387,0.483,0.253,0.423,0
578,0.5023333333333334,0.4373333333333333,0.3946666666666667,0.3326666666666666,0.3573333333333333,0
825,0.4934285714285714,0.4710000000000001,0.4154285714285715,0.3094285714285714,0.419,0
2006,0.5245,0.4893333333333332,0.4046666666666667,0.3486666666666666,0.4085000000000001,0
3106,0.4944285714285715,0.3674285714285714,0.4161428571428571,0.321,0.3408571428571428,0
447,0.5138571428571429,0.4885714285714286,0.3981428571428572,0.3341428571428571,0.3791428571428571,0
1585,0.5216666666666666,0.3936666666666666,0.4286666666666667,0.3409999999999999,0.3846666666666666,0
2866,0.4673333333333334,0.443,0.4653333333333334,0.3006666666666667,0.3859999999999999,0
3601,0.4599999999999999,0.4663333333333333,0.3906666666666667,0.272,0.3896666666666666,0
797,0.496,0.4535,0.396,0.3505,0.4115,0
1216,0.4679999999999999,0.3906666666666666,0.4226666666666667,0.3193333333333333,0.3753333333333333,0
1787,0.4696666666666667,0.4293333333333333,0.4463333333333333,0.2866666666666667,0.3896666666666666,0
1212,0.5076666666666667,0.4417777777777777,0.3964444444444444,0.303,0.3881111111111111,0
580,0.4862499999999999,0.42825,0.48075,0.32025,0.409,0
1030,0.4731666666666667,0.4405,0.3656666666666666,0.2816666666666667,0.3938333333333333,0
1078,0.5,0.3429999999999999,0.427,0.332,0.332,0
